Head            | Head POS   | Relation   | Dependent       | Dependent POS
Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
navigate        | VBP        | nsubj      | birds           | NNS       
birds           | NNS        | amod       | Migrating       | VBG       
navigate        | VBP        | xcomp      | using           | VBG       
using           | VBG        | obj        | cues            | NNS       
cues            | NNS        | amod       | celestial       | JJ        
using           | VBG        | obl        | sun             | NN        
sun             | NN         | case       | from            | IN        
sun             | NN         | det        | the             | DT        
sun             | NN         | conj       | stars           | NNS       
stars           | NNS        | cc         | and             | CC        
stars           | NNS        | conj       | field           | NN        
field           | NN         | nmod:poss  | earth           | NN        
earth           | NN         | det        | the             | DT        
earth           | NN         | case       | 's              | POS       
field           | NN         | amod       | magnetic        | JJ        
stars           | NNS        | conj       | maps            | NNS       
maps            | NNS        | cc         | and             | CC        
maps            | NNS        | advmod     | probably        | RB        
maps            | NNS        | advmod     | also            | RB        
maps            | NNS        | amod       | mental          | JJ        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
made            | VBN        | nsubj:pass | Records         | NNPS      
Records         | NNPS       | nmod       | migration       | NN        
migration       | NN         | case       | of              | IN        
migration       | NN         | compound   | bird            | NN        
made            | VBN        | aux:pass   | were            | VBD       
made            | VBN        | iobj       | years           | NNS       
years           | NNS        | nummod     | 3,000           | CD        
3,000           | CD         | advmod     | as              | RB        
3,000           | CD         | advmod     | much            | JJ        
3,000           | CD         | advmod     | as              | IN        
years           | NNS        | dep        | Hesiod          | NNP       
Hesiod          | NNP        | advmod     | ago             | RB        
ago             | RB         | obl        | writers         | NNS       
writers         | NNS        | case       | by              | IN        
writers         | NNS        | det        | the             | DT        
writers         | NNS        | amod       | Ancient         | JJ        
writers         | NNS        | amod       | Greek           | JJ        
Hesiod          | NNP        | conj       | Homer           | NNP       
Hesiod          | NNP        | conj       | Herodotus       | NNP       
Hesiod          | NNP        | conj       | Aristotle       | NNP       
Aristotle       | NNP        | cc         | and             | CC        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
notes           | VBZ        | nsubj      | Bible           | NNP       
Bible           | NNP        | det        | The             | DT        
notes           | VBZ        | advmod     | also            | RB        
notes           | VBZ        | ccomp      | spreads         | VBZ       
spreads         | VBZ        | nsubj      | migrations      | NNS       
spreads         | VBZ        | advcl      | it              | PRP       
it              | PRP        | advmod     | as              | RB        
it              | PRP        | obl        | Book            | NN        
Book            | NN         | case       | in              | IN        
Book            | NN         | det        | the             | DT        
Book            | NN         | nmod       | Job             | NNP       
Job             | NNP        | case       | of              | IN        
Book            | NN         | dep        | 39:26           | CD        
it              | PRP        | dep        | made            | VBN       
made            | VBN        | advmod     | where           | WRB       
made            | VBN        | nsubj:pass | inquiry         | NN        
inquiry         | NN         | det        | the             | DT        
made            | VBN        | aux:pass   | is              | VBZ       
it              | PRP        | cop        | Is              | VBZ       
it              | PRP        | obl        | insight         | NN        
insight         | NN         | case       | by              | IN        
insight         | NN         | nmod:poss  | your            | PRP$      
it              | PRP        | ccomp      | hovers          | VBZ       
hovers          | VBZ        | mark       | that            | IN        
hovers          | VBZ        | nsubj      | hawk            | NN        
hawk            | NN         | det        | the             | DT        
spreads         | VBZ        | obj        | wings           | NNS       
wings           | NNS        | nmod:poss  | its             | PRP$      
spreads         | VBZ        | advmod     | southward       | RB        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
wrote           | VBD        | nsubj      | author          | NN        
author          | NN         | det        | The             | DT        
author          | NN         | nmod       | Jeremiah        | NNP       
Jeremiah        | NNP        | case       | of              | IN        
author          | NN         | appos      | 8:7             | CD        
wrote           | VBD        | ccomp      | knows           | VBZ       
knows           | VBZ        | nsubj      | stork           | NN        
stork           | NN         | advmod     | Even            | RB        
stork           | NN         | det        | the             | DT        
stork           | NN         | nmod       | heavens         | NNS       
heavens         | NNS        | case       | in              | IN        
heavens         | NNS        | det        | the             | DT        
knows           | VBZ        | obj        | seasons         | NNS       
seasons         | NNS        | nmod:poss  | its             | PRP$      
knows           | VBZ        | conj       | keep            | VBP       
keep            | VBP        | cc         | and             | CC        
keep            | VBP        | nsubj      | dove            | NN        
dove            | NN         | det        | the             | DT        
dove            | NN         | compound   | turtle          | NN        
dove            | NN         | conj       | swift           | JJ        
swift           | JJ         | det        | the             | DT        
dove            | NN         | conj       | crane           | NN        
crane           | NN         | cc         | and             | CC        
crane           | NN         | det        | the             | DT        
keep            | VBP        | obj        | time            | NN        
time            | NN         | det        | the             | DT        
time            | NN         | nmod       | arrival         | NN        
arrival         | NN         | case       | of              | IN        
arrival         | NN         | nmod:poss  | their           | PRP$      

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
noted           | VBD        | nsubj      | Aristotle       | NNP       
noted           | VBD        | ccomp      | traveled        | VBD       
traveled        | VBD        | mark       | that            | IN        
traveled        | VBD        | nsubj      | cranes          | NNS       
traveled        | VBD        | obl        | steppes         | NNS       
steppes         | NNS        | case       | from            | IN        
steppes         | NNS        | det        | the             | DT        
steppes         | NNS        | nmod       | Scythia         | NNP       
Scythia         | NNP        | case       | of              | IN        
traveled        | VBD        | obl        | marshes         | NNS       
marshes         | NNS        | case       | to              | IN        
marshes         | NNS        | nmod       | headwaters      | NNS       
headwaters      | NNS        | case       | at              | IN        
headwaters      | NNS        | det        | the             | DT        
headwaters      | NNS        | nmod       | Nile            | NNP       
Nile            | NNP        | case       | of              | IN        
Nile            | NNP        | det        | the             | DT        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
repeats         | VBZ        | advmod     | Pliny           | RB        
repeats         | VBZ        | nsubj      | Elder           | NN        
Elder           | NN         | det        | the             | DT        
Elder           | NN         | nmod       | Naturalis       | NNP       
Naturalis       | NNP        | case       | in              | IN        
Naturalis       | NNP        | nmod:poss  | his             | PRP$      
Naturalis       | NNP        | compound   | Historia        | NNP       
repeats         | VBZ        | obj        | observations    | NNS       
observations    | NNS        | nmod:poss  | Aristotle       | NNP       
Aristotle       | NNP        | case       | 's              | POS       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
suggested       | VBD        | nsubj      | Aristotle       | NNP       
suggested       | VBD        | advmod     | however         | RB        
suggested       | VBD        | ccomp      | hibernated      | VBD       
hibernated      | VBD        | mark       | that            | IN        
hibernated      | VBD        | nsubj      | swallows        | NNS       
swallows        | NNS        | conj       | birds           | NNS       
birds           | NNS        | cc         | and             | CC        
birds           | NNS        | amod       | other           | JJ        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
persisted       | VBD        | nsubj      | belief          | NN        
belief          | NN         | det        | This            | DT        
persisted       | VBD        | advmod     | late            | RB        
late            | RB         | advmod     | as              | RB        
persisted       | VBD        | obl        | 1878            | CD        
1878            | CD         | case       | as              | IN        
persisted       | VBD        | advcl      | listed          | VBD       
listed          | VBD        | advmod     | when            | WRB       
listed          | VBD        | nsubj      | Coues           | NNP       
Coues           | NNP        | compound   | Elliott         | NNP       
listed          | VBD        | obj        | titles          | NNS       
titles          | NNS        | det        | the             | DT        
titles          | NNS        | nmod       | papers          | NNS       
papers          | NNS        | case       | of              | IN        
papers          | NNS        | nummod     | 182             | CD        
182             | CD         | advmod     | no              | DT        
182             | CD         | advmod     | less            | JJR       
less            | JJR        | fixed      | than            | IN        
papers          | NNS        | acl        | dealing         | VBG       
dealing         | VBG        | obl        | hibernation     | NN        
hibernation     | NN         | case       | with            | IN        
hibernation     | NN         | det        | the             | DT        
hibernation     | NN         | nmod       | swallows        | NNS       
swallows        | NNS        | case       | of              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
quoted          | VBD        | advmod     | Even            | RB        
quoted          | VBD        | nsubj      | White           | NNP       
White           | NNP        | det        | the             | DT        
White           | NNP        | amod       | observant       | JJ        
observant       | JJ         | advmod     | highly          | RB        
White           | NNP        | compound   | Gilbert         | NNP       
White           | NNP        | nmod       | posthumously    | NN        
posthumously    | NN         | case       | in              | IN        
posthumously    | NN         | nmod:poss  | his             | PRP$      
posthumously    | NN         | acl        | published       | VBN       
published       | VBN        | xcomp      | 1789            | VBG       
1789            | VBG        | obj        | History         | NN        
History         | NN         | det        | The             | DT        
History         | NN         | amod       | Natural         | JJ        
History         | NN         | nmod       | Selborne        | NNP       
Selborne        | NNP        | case       | of              | IN        
quoted          | VBD        | obj        | story           | NN        
story           | NN         | nmod:poss  | man             | NN        
man             | NN         | det        | a               | DT        
man             | NN         | case       | 's              | POS       
quoted          | VBD        | obl        | swallows        | NNS       
swallows        | NNS        | case       | about           | IN        
swallows        | NNS        | acl        | found           | VBN       
found           | VBN        | aux:pass   | being           | VBG       
found           | VBN        | obl        | schoolboy       | NN        
schoolboy       | NN         | case       | in              | IN        
schoolboy       | NN         | det        | a               | DT        
schoolboy       | NN         | compound   | chalk           | NN        
schoolboy       | NN         | compound   | cliff           | NN        
schoolboy       | NN         | dep        | collapse        | NN        
schoolboy       | NN         | mark       | while           | IN        
schoolboy       | NN         | nsubj      | he              | PRP       
schoolboy       | NN         | cop        | was             | VBD       
schoolboy       | NN         | det        | a               | DT        
schoolboy       | NN         | nmod       | Brighthelmstone | NNP       
Brighthelmstone | NNP        | case       | at              | IN        
schoolboy       | NN         | acl:relcl  | denied          | VBD       
denied          | VBD        | mark       | though          | IN        
denied          | VBD        | nsubj      | man             | NN        
man             | NN         | det        | the             | DT        
denied          | VBD        | xcomp      | eyewitness      | NN        
eyewitness      | NN         | cop        | being           | VBG       
eyewitness      | NN         | det        | an              | DT        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
writes          | VBZ        | advmod     | However         | RB        
writes          | VBZ        | nsubj      | he              | PRP       
writes          | VBZ        | advmod     | also            | RB        
writes          | VBZ        | advcl      | heard           | VBD       
heard           | VBD        | mark       | that            | IN        
heard           | VBD        | advmod     | as              | RB        
as              | RB         | obl        | swallows        | NNS       
swallows        | NNS        | case       | to              | IN        
swallows        | NNS        | acl        | found           | VBN       
found           | VBN        | aux:pass   | being           | VBG       
found           | VBN        | obl        | state           | NN        
state           | NN         | case       | in              | IN        
state           | NN         | det        | a               | DT        
state           | NN         | amod       | torpid          | JJ        
found           | VBN        | obl        | winter          | NN        
winter          | NN         | case       | during          | IN        
winter          | NN         | det        | the             | DT        
winter          | NN         | nmod       | Isle            | NNP       
Isle            | NNP        | case       | in              | IN        
Isle            | NNP        | det        | the             | DT        
Isle            | NNP        | nmod       | Wight           | NNP       
Wight           | NNP        | case       | of              | IN        
Isle            | NNP        | conj       | part            | NN        
part            | NN         | cc         | or              | CC        
part            | NN         | det        | any             | DT        
part            | NN         | nmod       | country         | NN        
country         | NN         | case       | of              | IN        
country         | NN         | det        | this            | DT        
heard           | VBD        | nsubj      | I               | PRP       
heard           | VBD        | advmod     | never           | RB        
heard           | VBD        | xcomp      | attending       | VBG       
attending       | VBG        | nsubj      | account         | NN        
account         | NN         | det        | any             | DT        
account         | NN         | amod       | such            | JJ        
attending       | VBG        | dep        | worth           | JJ        
attending       | VBG        | obl        | to              | IN        
heard           | VBD        | conj       | happen          | VBP       
happen          | VBP        | cc         | and             | CC        
happen          | VBP        | mark       | that            | IN        
happen          | VBP        | mark       | if              | IN        
happen          | VBP        | nsubj      | swallows        | NNS       
swallows        | NNS        | amod       | early           | JJ        
happen          | VBP        | xcomp      | find            | VB        
find            | VB         | mark       | to              | TO        
find            | VB         | obj        | frost           | NN        
frost           | NN         | conj       | snow            | NN        
snow            | NN         | cc         | and             | CC        
frost           | NN         | acl:relcl  | withdraw        | VB        
withdraw        | VB         | nsubj      | they            | PRP       
withdraw        | VB         | advmod     | immediately     | RB        
withdraw        | VB         | obl        | time            | NN        
time            | NN         | case       | for             | IN        
time            | NN         | det        | a               | DT        
time            | NN         | dep        | circumstance    | NN        
circumstance    | NN         | det        | a               | DT        
circumstance    | NN         | nmod       | favour          | NN        
favour          | NN         | advmod     | more            | RBR       
more            | RBR        | obl:npmod  | much            | RB        
much            | RB         | det        | this            | DT        
favour          | NN         | case       | in              | IN        
favour          | NN         | acl        | hiding          | VBG       
hiding          | VBG        | mark       | of              | IN        
hiding          | VBG        | obl        | migration       | NN        
migration       | NN         | case       | than            | IN        
writes          | VBZ        | advcl      | doubts          | VBZ       
doubts          | VBZ        | mark       | since           | IN        
doubts          | VBZ        | nsubj      | he              | PRP       
doubts          | VBZ        | ccomp      | return          | VB        
return          | VB         | nsubj      | they            | PRP       
return          | VB         | aux        | would           | MD        
return          | VB         | obl        | week            | NN        
week            | NN         | case       | for             | IN        
week            | NN         | det        | a               | DT        
week            | NN         | conj       | two             | CD        
two             | CD         | cc         | or              | CC        
return          | VB         | obl        | latitudes       | NNS       
latitudes       | NNS        | case       | to              | IN        
latitudes       | NNS        | amod       | warmer          | JJR       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
end             | NN         | nsubj      | It              | PRP       
end             | NN         | cop        | was             | VBD       
end             | NN         | advmod     | not             | RB        
end             | NN         | case       | until           | IN        
end             | NN         | det        | the             | DT        
end             | NN         | nmod       | century         | NN        
century         | NN         | case       | of              | IN        
century         | NN         | det        | the             | DT        
century         | NN         | compound   | eighteenth      | NN        
end             | NN         | ccomp      | accepted        | VBN       
accepted        | VBN        | mark       | that            | IN        
accepted        | VBN        | nsubj:pass | migration       | NN        
migration       | NN         | nmod       | explanation     | NN        
explanation     | NN         | case       | as              | IN        
explanation     | NN         | det        | an              | DT        
explanation     | NN         | nmod       | disappearance   | NN        
disappearance   | NN         | case       | for             | IN        
disappearance   | NN         | det        | the             | DT        
disappearance   | NN         | compound   | winter          | NN        
disappearance   | NN         | nmod       | birds           | NNS       
birds           | NNS        | case       | of              | IN        
birds           | NNS        | nmod       | climes          | NNS       
climes          | NNS        | case       | from            | IN        
climes          | NNS        | amod       | northern        | JJ        
accepted        | VBN        | aux:pass   | was             | VBD       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
mentions        | VBZ        | nsubj      | History         | NN        
History         | NN         | nmod:poss  | Bewick          | NNP       
Bewick          | NNP        | compound   | Thomas          | NNP       
Bewick          | NNP        | case       | 's              | POS       
History         | NN         | compound   | A               | NN        
History         | NN         | nmod       | Birds           | NNS       
Birds           | NNS        | case       | of              | IN        
Birds           | NNS        | amod       | British         | JJ        
History         | NN         | appos      | Volume          | NN        
Volume          | NN         | nummod     | 1               | CD        
Volume          | NN         | dep        | 1797            | CD        
mentions        | VBZ        | obj        | report          | NN        
report          | NN         | det        | a               | DT        
mentions        | VBZ        | obl        | master          | NN        
master          | NN         | case       | from            | IN        
master          | NN         | det        | a               | DT        
master          | NN         | amod       | intelligent     | JJ        
intelligent     | JJ         | advmod     | very            | RB        
master          | NN         | nmod       | vessel          | NN        
vessel          | NN         | case       | of              | IN        
vessel          | NN         | det        | a               | DT        
master          | NN         | acl:relcl  | saw             | VBD       
saw             | VBD        | nsubj      | who             | WP        
saw             | VBD        | obl        | islands         | NNS       
islands         | NNS        | case       | between         | IN        
islands         | NNS        | det        | the             | DT        
islands         | NNS        | nmod       | Minorca         | NNP       
Minorca         | NNP        | case       | of              | IN        
Minorca         | NNP        | conj       | Majorca         | NNP       
